,"Plant Influent
[Plant Influent Total Flow]",Vista Gauge Level (feet),Vista Gauge Elevation (feet),Vista Gauge Predicted Max Level (feet),Vista Gauge Predicted Max Elevation (feet),Flow1 (cfs),Flow2 (cfs),Flow3 (cfs),PRCP (Inches),SNOW (Inches),SNWD (Inches)
2/20/19,31.73,4.309999943,4375.209961,4.300000191,4375.199707,525,89.7,753,0,0,0
2/21/19,29.86,4.309999943,4375.209961,4.300000191,4375.199707,485,85,711,0.08,1.2,0
2/22/19,31.52,4.309999943,4375.209961,4.300000191,4375.199707,516,78.9,722,0,0,0
2/23/19,30.35,4.309999943,4375.209961,4.300000191,4375.199707,709,73.9,865,0,0,0
2/24/19,30.82,4.309999943,4375.209961,4.300000191,4375.199707,897,74.5,1030,0,0,0
2/25/19,31.60,4.309999943,4375.209961,4.300000191,4375.199707,916,74.4,1050,0,0,0
2/26/19,29.40,4.309999943,4375.209961,4.300000191,4375.199707,1360,98.4,1450,0,0,0
2/27/19,29.92,4.309999943,4375.209961,4.300000191,4375.199707,1720,182,1930,0.1,0,0
2/28/19,29.76,4.309999943,4375.209961,4.300000191,4375.199707,1750,174,1980,0,0,0
3/1/19,28.75,4.309999943,4375.209961,4.300000191,4375.199707,1640,119,1820,0,0,0
3/2/19,29.45,4.309999943,4375.209961,4.300000191,4375.199707,1650,105,1800,0.12,0,0
3/3/19,29.61,4.309999943,4375.209961,4.300000191,4375.199707,1670,108,1830,0.08,0,0
3/4/19,30.30,4.309999943,4375.209961,4.300000191,4375.199707,1740,113,1900,0,0,0
3/5/19,29.50,4.309999943,4375.209961,4.300000191,4375.199707,1750,101,1870,0.05,0,0
3/6/19,30.22,4.309999943,4375.209961,4.300000191,4375.199707,1840,138,2040,0.31,0,0
3/7/19,29.50,4.309999943,4375.209961,4.300000191,4375.199707,1870,204,2150,0,0,0
3/8/19,29.25,4.309999943,4375.209961,4.300000191,4375.199707,1810,133,1990,0,0,0
3/9/19,29.39,4.309999943,4375.209961,4.300000191,4375.199707,1750,115,1900,0,0,0
3/10/19,30.36,4.309999943,4375.209961,4.300000191,4375.199707,1700,107,1840,0,0,0
3/11/19,31.00,4.309999943,4375.209961,4.300000191,4375.199707,1680,102,1840,0,0,0
3/12/19,27.74,4.309999943,4375.209961,4.300000191,4375.199707,1660,99.8,1800,0.02,0,0
3/13/19,29.40,4.309999943,4375.209961,4.300000191,4375.199707,1630,95.3,1770,0,0,0
3/14/19,27.86,4.309999943,4375.209961,4.300000191,4375.199707,1610,92.1,1730,0,0,0
3/15/19,28.26,4.309999943,4375.209961,4.300000191,4375.199707,1580,91.4,1690,0,0,0
3/16/19,28.43,4.309999943,4375.209961,4.300000191,4375.199707,1610,90.9,1750,0,0,0
3/17/19,29.54,4.309999943,4375.209961,4.300000191,4375.199707,1670,90.1,1810,0,0,0
3/18/19,29.58,4.309999943,4375.209961,4.300000191,4375.199707,1740,90.6,1850,0,0,0
3/19/19,27.75,4.309999943,4375.209961,4.300000191,4375.199707,2000,97.7,2140,0,0,0
3/20/19,27.11,4.309999943,4375.209961,4.300000191,4375.199707,2150,112,2310,0.04,0,0
3/21/19,28.09,4.309999943,4375.209961,4.300000191,4375.199707,2170,115,2330,0.01,0,0
3/22/19,28.34,4.309999943,4375.209961,4.300000191,4375.199707,2150,110,2300,0.01,0,0
3/23/19,29.60,4.309999943,4375.209961,4.300000191,4375.199707,2170,151,2400,0.37,0.4,0
3/24/19,29.08,4.309999943,4375.209961,4.300000191,4375.199707,2130,122,2290,0,0,0
3/25/19,29.50,4.309999943,4375.209961,4.300000191,4375.199707,2220,118,2380,0,0,0
3/26/19,27.48,4.309999943,4375.209961,4.300000191,4375.199707,2310,125,2440,0,0,0
3/27/19,28.31,4.309999943,4375.209961,4.300000191,4375.199707,2510,143,2610,0.11,0,0
3/28/19,28.18,4.309999943,4375.209961,4.300000191,4375.199707,2530,164,2680,0,0,0
3/29/19,27.78,4.309999943,4375.209961,4.300000191,4375.199707,2310,131,2440,0,0,0
3/30/19,28.28,4.309999943,4375.209961,4.300000191,4375.199707,2230,121,2360,0,0,0
3/31/19,26.84,4.309999943,4375.209961,4.300000191,4375.199707,2260,119,2370,0,0,0
4/1/19,29.03,4.309999943,4375.209961,4.300000191,4375.199707,2350,123,2440,0.11,0,0
4/2/19,28.39,4.309999943,4375.209961,4.300000191,4375.199707,2680,132,2800,0.06,0,0
4/3/19,27.82,4.309999943,4375.209961,4.300000191,4375.199707,2840,124,2920,0,0,0
4/4/19,27.74,4.309999943,4375.209961,4.300000191,4375.199707,2840,121,2910,0,0,0
4/5/19,28.30,4.309999943,4375.209961,4.300000191,4375.199707,2880,122,2920,0,0,0
4/6/19,27.95,4.309999943,4375.209961,4.300000191,4375.199707,2940,121,2950,0,0,0
4/7/19,28.67,4.309999943,4375.209961,4.300000191,4375.199707,3110,123,3110,0,0,0
4/8/19,28.84,4.309999943,4375.209961,4.300000191,4375.199707,3640,145,3560,0.04,0,0
4/9/19,27.89,4.309999943,4375.209961,4.300000191,4375.199707,4700,189,4820,0.03,0,0
4/10/19,30.10,4.309999943,4375.209961,4.300000191,4375.199707,4100,144,4200,0,0,0
4/11/19,26.15,4.309999943,4375.209961,4.300000191,4375.199707,3790,122,3910,0,0,0
4/12/19,28.86,4.309999943,4375.209961,4.300000191,4375.199707,3610,117,3720,0,0,0
4/13/19,27.56,4.309999943,4375.209961,4.300000191,4375.199707,3630,116,3710,0,0,0
4/14/19,29.31,4.309999943,4375.209961,4.300000191,4375.199707,3710,118,3800,0,0,0
4/15/19,29.74,4.309999943,4375.209961,4.300000191,4375.199707,3710,121,3840,0,0,0
4/16/19,27.53,4.309999943,4375.209961,4.300000191,4375.199707,3680,116,3820,0,0,0
4/17/19,28.28,4.309999943,4375.209961,4.300000191,4375.199707,3680,116,3750,0,0,0
4/18/19,26.94,4.309999943,4375.209961,4.300000191,4375.199707,3740,122,3760,0,0,0
4/19/19,28.54,4.309999943,4375.209961,4.300000191,4375.199707,3960,128,4000,0,0,0
4/20/19,27.54,4.309999943,4375.209961,4.300000191,4375.199707,4140,134,4210,0,0,0
4/21/19,28.85,4.309999943,4375.209961,4.300000191,4375.199707,4060,129,4180,0,0,0
4/22/19,28.11,4.309999943,4375.209961,4.300000191,4375.199707,3980,119,4060,0,0,0
4/23/19,29.24,4.309999943,4375.209961,4.300000191,4375.199707,4010,128,4050,0,0,0
4/24/19,29.83,4.309999943,4375.209961,4.300000191,4375.199707,4160,144,4220,0,0,0
4/25/19,27.76,4.309999943,4375.209961,4.300000191,4375.199707,4350,152,4410,0,0,0
4/26/19,28.36,4.309999943,4375.209961,4.300000191,4375.199707,4290,156,4360,0,0,0
4/27/19,28.79,4.309999943,4375.209961,4.300000191,4375.199707,4220,158,4340,0,0,0
4/28/19,28.27,4.309999943,4375.209961,4.300000191,4375.199707,4110,159,4290,0,0,0
4/29/19,29.42,4.309999943,4375.209961,4.300000191,4375.199707,3930,156,4100,0,0,0
4/30/19,28.01,4.309999943,4375.209961,4.300000191,4375.199707,3790,141,3980,0,0,0
5/1/19,27.85,4.309999943,4375.209961,4.300000191,4375.199707,3570,123,3710,0,0,0
5/2/19,29.59,4.309999943,4375.209961,4.300000191,4375.199707,3390,118,3560,0,0,0
5/3/19,28.07,4.309999943,4375.209961,4.300000191,4375.199707,3340,131,3500,0,0,0
5/4/19,27.68,4.309999943,4375.209961,4.300000191,4375.199707,3370,139,3520,0,0,0
5/5/19,29.78,4.309999943,4375.209961,4.300000191,4375.199707,3420,144,3600,0.01,0,0
5/6/19,28.58,4.309999943,4375.209961,4.300000191,4375.199707,3500,149,3670,0,0,0
5/7/19,27.83,4.309999943,4375.209961,4.300000191,4375.199707,3500,155,3660,0,0,0
5/8/19,28.46,4.309999943,4375.209961,4.300000191,4375.199707,3560,162,3740,0,0,0
5/9/19,27.69,4.309999943,4375.209961,4.300000191,4375.199707,3570,167,3770,0,0,0
5/10/19,27.05,4.309999943,4375.209961,4.300000191,4375.199707,3490,168,3720,0,0,0
5/11/19,26.61,4.309999943,4375.209961,4.300000191,4375.199707,3360,168,3580,0,0,0
5/12/19,29.41,4.309999943,4375.209961,4.300000191,4375.199707,3440,168,3600,0,0,0
5/13/19,28.59,4.309999943,4375.209961,4.300000191,4375.199707,3510,169,3690,0,0,0
5/14/19,27.48,4.309999943,4375.209961,4.300000191,4375.199707,3340,174,3520,0,0,0
5/15/19,28.72,4.309999943,4375.209961,4.300000191,4375.199707,3200,168,3350,0,0,0
5/16/19,27.75,4.309999943,4375.209961,4.300000191,4375.199707,3350,169,3510,0,0,0
5/17/19,29.55,4.309999943,4375.209961,4.300000191,4375.199707,3150,172,3330,0,0,0
5/18/19,27.88,4.309999943,4375.209961,4.300000191,4375.199707,2960,171,3180,0,0,0
5/19/19,29.42,4.309999943,4375.209961,4.300000191,4375.199707,2790,169,3030,0,0,0
5/20/19,29.50,4.309999943,4375.209961,4.300000191,4375.199707,2580,161,2830,0,0,0
5/21/19,28.83,4.309999943,4375.209961,4.300000191,4375.199707,2350,156,2650,0,0,0
5/22/19,27.71,4.309999943,4375.209961,4.300000191,4375.199707,2100,149,2400,0.05,0,0
5/23/19,28.10,4.309999943,4375.209961,4.300000191,4375.199707,2070,158,2390,0.01,0,0
5/24/19,28.50,4.309999943,4375.209961,4.300000191,4375.199707,1990,160,2330,0.04,0,0
5/25/19,27.25,4.309999943,4375.209961,4.300000191,4375.199707,2020,157,2340,0.01,0,0
5/26/19,28.89,4.309999943,4375.209961,4.300000191,4375.199707,2070,160,2390,0.03,0,0
5/27/19,29.34,4.309999943,4375.209961,4.300000191,4375.199707,2030,167,2370,0.2,0,0
5/28/19,29.57,4.309999943,4375.209961,4.300000191,4375.199707,2030,164,2350,0,0,0
5/29/19,28.15,4.309999943,4375.209961,4.300000191,4375.199707,2110,161,2410,0,0,0
5/30/19,27.80,4.309999943,4375.209961,4.300000191,4375.199707,2360,165,2610,0.04,0,0
5/31/19,28.39,4.309999943,4375.209961,4.300000191,4375.199707,2580,167,2830,0,0,0
6/1/19,27.56,4.309999943,4375.209961,4.300000191,4375.199707,2800,169,3010,0,0,0
6/2/19,28.11,4.309999943,4375.209961,4.300000191,4375.199707,2990,186,3180,0,0,0
6/3/19,28.75,4.309999943,4375.209961,4.300000191,4375.199707,3150,192,3330,0,0,0
6/4/19,29.47,4.309999943,4375.209961,4.300000191,4375.199707,3300,202,3490,0,0,0
6/5/19,27.97,4.309999943,4375.209961,4.300000191,4375.199707,3140,210,3350,0,0,0
6/6/19,28.17,4.309999943,4375.209961,4.300000191,4375.199707,3020,217,3240,0,0,0
6/7/19,28.29,4.309999943,4375.209961,4.300000191,4375.199707,2700,201,3010,0,0,0
6/8/19,27.79,4.309999943,4375.209961,4.300000191,4375.199707,2320,185,2630,0,0,0
6/9/19,28.58,4.309999943,4375.209961,4.300000191,4375.199707,2140,167,2460,0,0,0
6/10/19,29.20,4.309999943,4375.209961,4.300000191,4375.199707,2100,162,2410,0,0,0
6/11/19,28.16,4.309999943,4375.209961,4.300000191,4375.199707,2090,168,2390,0,0,0
6/12/19,28.03,4.309999943,4375.209961,4.300000191,4375.199707,2170,174,2460,0,0,0
6/13/19,27.30,4.309999943,4375.209961,4.300000191,4375.199707,2230,192,2530,0,0,0
6/14/19,28.54,4.309999943,4375.209961,4.300000191,4375.199707,2050,196,2380,0,0,0
6/15/19,27.96,4.309999943,4375.209961,4.300000191,4375.199707,2030,195,2350,0,0,0
6/16/19,27.48,4.309999943,4375.209961,4.300000191,4375.199707,1980,193,2310,0,0,0
6/17/19,28.35,4.309999943,4375.209961,4.300000191,4375.199707,2110,189,2400,0,0,0
6/18/19,28.75,4.309999943,4375.209961,4.300000191,4375.199707,2210,193,2480,0,0,0
6/19/19,28.25,4.309999943,4375.209961,4.300000191,4375.199707,2290,199,2550,0,0,0
6/20/19,26.31,4.309999943,4375.209961,4.300000191,4375.199707,2280,195,2550,0,0,0
6/21/19,28.95,4.309999943,4375.209961,4.300000191,4375.199707,2000,181,2300,0,0,0
6/22/19,29.64,4.309999943,4375.209961,4.300000191,4375.199707,1720,166,2000,0,0,0
6/23/19,26.87,4.309999943,4375.209961,4.300000191,4375.199707,1580,156,1820,0,0,0
6/24/19,28.57,4.309999943,4375.209961,4.300000191,4375.199707,1500,150,1700,0,0,0
6/25/19,28.56,4.309999943,4375.209961,4.300000191,4375.199707,1440,149,1650,0,0,0
6/26/19,26.89,4.309999943,4375.209961,4.300000191,4375.199707,1220,143,1420,0,0,0
6/27/19,27.01,4.309999943,4375.209961,4.300000191,4375.199707,1100,139,1290,0,0,0
6/28/19,26.95,4.309999943,4375.209961,4.300000191,4375.199707,913,128,1110,0,0,0
6/29/19,28.08,4.309999943,4375.209961,4.300000191,4375.199707,780,123,978,0,0,0
6/30/19,26.99,4.309999943,4375.209961,4.300000191,4375.199707,692,121,894,0,0,0
7/1/19,27.37,4.309999943,4375.209961,4.300000191,4375.199707,668,116,857,0,0,0
7/2/19,27.34,4.309999943,4375.209961,4.300000191,4375.199707,629,113,821,0,0,0
7/3/19,26.54,4.309999943,4375.209961,4.300000191,4375.199707,593,115,789,0,0,0
7/4/19,26.46,4.309999943,4375.209961,4.300000191,4375.199707,585,114,777,0,0,0
7/5/19,26.59,4.309999943,4375.209961,4.300000191,4375.199707,563,112,753,0,0,0
7/6/19,26.55,4.309999943,4375.209961,4.300000191,4375.199707,594,105,768,0,0,0
7/7/19,27.35,4.309999943,4375.209961,4.300000191,4375.199707,605,103,772,0,0,0
7/8/19,27.67,4.309999943,4375.209961,4.300000191,4375.199707,569,99.3,739,0,0,0
7/9/19,26.73,4.309999943,4375.209961,4.300000191,4375.199707,487,95.1,668,0,0,0
7/10/19,27.49,4.309999943,4375.209961,4.300000191,4375.199707,451,93.2,627,0,0,0
7/11/19,26.55,4.309999943,4375.209961,4.300000191,4375.199707,450,91.7,620,0,0,0
7/12/19,27.19,4.446336727,4375.346319,4.486979342,4375.386702,456,90.4,620,0,0,0
7/13/19,26.47,4.635954784,4375.535936,4.732465211,4375.632436,446,89.7,612,0,0,0
7/14/19,26.38,4.619270774,4375.519234,4.692187317,4375.592278,449,86.7,605,0,0,0
7/15/19,27.19,4.580173603,4375.480085,4.660242903,4375.560302,446,78.4,589,0,0,0
7/16/19,26.96,4.503611064,4375.403562,4.634374872,4375.534409,428,69.4,561,0,0,0
7/17/19,27.23,4.492465221,4375.392426,4.664583176,4375.564646,425,68.6,557,0,0,0
7/18/19,26.35,4.459808917,4375.359825,4.573611041,4375.473585,421,69.3,543,0,0,0
7/19/19,26.73,4.495590198,4375.395575,4.684375117,4375.584157,433,71.3,554,0,0,0
7/20/19,26.90,4.536423608,4375.436329,4.675694457,4375.575584,443,76,569,0,0,0
7/21/19,26.42,4.510555537,4375.410477,4.599999905,4375.5,438,74.9,557,0,0,0
7/22/19,27.13,4.560034707,4375.459952,4.667187341,4375.567253,456,74.4,571,0,0,0
7/23/19,27.03,4.435624877,4375.335654,4.616840166,4375.516857,410,70.8,521,0,0,0
7/24/19,26.57,4.372708263,4375.272682,4.5114583,4375.411395,404,66.2,502,0,0,0
7/25/19,26.84,4.393906232,4375.293827,4.563888828,4375.463854,410,67.9,520,0.11,0,0
7/26/19,27.56,4.618715212,4375.518685,4.6046874,4375.504692,463,97,599,0.14,0,0
7/27/19,27.92,4.644617972,4375.544606,4.690972336,4375.590758,459,101,605,0,0,0
7/28/19,26.37,4.644374927,4375.544352,4.840277887,4375.740068,491,81.1,606,0,0,0
7/29/19,28.19,4.597829849,4375.497744,4.73333327,4375.633301,482,72.9,590,0,0,0
7/30/19,29.15,4.441201314,4375.341272,4.699999809,4375.600098,444,73.6,548,0,0,0
7/31/19,28.24,4.429999828,4375.330078,4.699999809,4375.600098,448,71,551,0,0,0
8/1/19,26.70,4.429999828,4375.330078,4.699999809,4375.600098,457,65.5,554,0,0,0
8/2/19,26.72,4.429999828,4375.330078,4.699999809,4375.600098,470,58.7,558,0,0,0
8/3/19,26.70,4.429999828,4375.330078,4.699999809,4375.600098,474,58.2,568,0,0,0
8/4/19,26.45,4.429999828,4375.330078,4.699999809,4375.600098,480,59.5,572,0,0,0
8/5/19,27.08,4.429999828,4375.330078,4.699999809,4375.600098,501,50.5,581,0,0,0
8/6/19,27.38,4.429999828,4375.330078,4.699999809,4375.600098,483,46.9,564,0,0,0
8/7/19,26.55,4.429999828,4375.330078,4.699999809,4375.600098,471,49.4,559,0,0,0
8/8/19,26.77,4.429999828,4375.330078,4.699999809,4375.600098,476,50,564,0,0,0
8/9/19,27.09,4.429999828,4375.330078,4.699999809,4375.600098,474,54.9,563,0,0,0
8/10/19,27.26,4.429999828,4375.330078,4.699999809,4375.600098,485,67.2,591,0,0,0
8/11/19,27.33,4.429999828,4375.330078,4.699999809,4375.600098,494,63.7,599,0,0,0
8/12/19,28.64,4.429999828,4375.330078,4.699999809,4375.600098,476,59.2,576,0,0,0
8/13/19,27.02,4.429999828,4375.330078,4.699999809,4375.600098,461,56.3,553,0,0,0
8/14/19,26.75,4.429999828,4375.330078,4.699999809,4375.600098,448,58.8,543,0,0,0
8/15/19,26.28,4.429999828,4375.330078,4.699999809,4375.600098,443,60.3,538,0,0,0
8/16/19,26.66,4.429999828,4375.330078,4.699999809,4375.600098,442,57,533,0,0,0
8/17/19,26.15,4.429999828,4375.330078,4.699999809,4375.600098,439,54.7,534,0,0,0
8/18/19,26.23,4.429999828,4375.330078,4.699999809,4375.600098,457,56.3,549,0,0,0
8/19/19,28.18,4.429999828,4375.330078,4.699999809,4375.600098,478,57.6,577,0,0,0
8/20/19,26.99,4.429999828,4375.330078,4.699999809,4375.600098,470,59,571,0,0,0
8/21/19,26.61,4.429999828,4375.330078,4.699999809,4375.600098,440,58.9,538,0,0,0
8/22/19,26.69,4.429999828,4375.330078,4.699999809,4375.600098,446,59.4,541,0,0,0
8/23/19,27.05,4.437586632,4375.337667,4.62673599,4375.526762,460,59.6,548,0,0,0
8/24/19,26.48,4.473992911,4375.374044,4.5,4375.399902,457,57.9,551,0,0,0
8/25/19,26.93,4.419270724,4375.319285,4.435416728,4375.335256,446,53.5,531,0,0,0
8/26/19,27.93,4.504131877,4375.404104,4.465451422,4375.36532,479,51.5,564,0,0,0
8/27/19,26.45,4.494288146,4375.39424,4.5,4375.399902,472,49.2,556,0,0,0
8/28/19,26.83,4.42803808,4375.328058,4.450000048,4375.349854,448,50.4,533,0,0,0
8/29/19,26.19,4.354878431,4375.254823,4.400000095,4375.299805,429,46.3,505,0,0,0
8/30/19,26.56,4.302899279,4375.202829,4.400000095,4375.299805,433,45.2,504,0,0,0
8/31/19,25.85,4.212899321,4375.112786,4.400000095,4375.299805,407,50,488,0,0,0
9/1/19,26.89,4.28345487,4375.183348,4.336458489,4375.236201,386,52.6,471,0,0,0
9/2/19,26.59,4.218940813,4375.119007,4.237673564,4375.137624,362,52.4,439,0,0,0
9/3/19,28.27,4.141215184,4375.041213,4.135763759,4375.035799,334,51.5,405,0,0,0
9/4/19,27.48,4.083072911,4374.982981,4.099999905,4375,321,53.8,386,0.05,0,0
9/5/19,27.15,4.199687378,4375.099714,4.234027874,4375.133831,330,72.6,432,0,0,0
9/6/19,26.58,4.14102421,4375.041025,4.136631816,4375.036666,322,62.1,406,0,0,0
9/7/19,26.32,4.107590131,4375.007495,4.099999905,4375,318,59.4,394,0,0,0
9/8/19,27.43,4.11682285,4375.016793,4.099999905,4375,320,55.4,398,0,0,0
9/9/19,27.92,4.1591666,4375.059137,4.100520737,4375.000521,343,55.3,420,0,0,0
9/10/19,26.88,4.189131819,4375.089163,4.021354014,4374.921413,347,55.6,431,0,0,0
9/11/19,26.98,4.169774214,4375.069771,4.199999809,4375.100098,330,61.9,423,0,0,0
9/12/19,26.49,4.12954854,4375.029524,4.333680556,4375.233582,320,59.6,403,0,0,0
9/13/19,27.01,4.090798588,4374.990724,4.400000095,4375.299805,312,58.1,389,0,0,0
9/14/19,26.15,4.122326375,4375.022243,4.338715432,4375.23846,328,56.4,404,0,0,0
9/15/19,27.35,4.120850636,4375.020813,4.497395836,4375.397296,326,51.6,404,0,0,0
9/16/19,27.89,4.260086713,4375.160084,4.599999905,4375.5,387,52.3,470,0.01,0,0
9/17/19,27.16,4.350920094,4375.250869,4.421354242,4375.32118,405,58,506,0,0,0
9/18/19,27.15,4.181770736,4375.081773,4.300000191,4375.199707,334,62,428,0,0,0
9/19/19,26.70,4.211805509,4375.111755,4.236458282,4375.136414,352,64,448,0.01,0,0
9/20/19,27.20,4.266805511,4375.166753,4.199999809,4375.100098,362,65.3,472,0,0,0
9/21/19,26.48,4.209617911,4375.109668,4.199999809,4375.100098,337,67.1,442,0,0,0
9/22/19,27.82,4.196249894,4375.096261,4.26562506,4375.165466,331,64.9,436,0,0,0
9/23/19,28.25,4.272222219,4375.172128,4.300000191,4375.199707,370,59.7,477,0,0,0
9/24/19,26.03,4.279236056,4375.179195,4.300000191,4375.199707,381,57.1,479,0,0,0
9/25/19,26.77,4.227234697,4375.127225,4.300000191,4375.199707,354,58.6,455,0,0,0
9/26/19,26.13,4.202951266,4375.10298,4.364757073,4375.264527,353,57.3,445,0,0,0
9/27/19,26.62,4.185937367,4375.085976,4.466840309,4375.36671,344,56.1,438,0,0,0
9/28/19,26.43,4.215357731,4375.115329,4.377573646,4375.277356,349,60.6,455,0.22,0,0
9/29/19,28.68,4.376076342,4375.276026,4.300000191,4375.199707,382,72.9,521,0,0,0
9/30/19,28.18,4.349357612,4375.249287,4.319965449,4375.219692,391,62.4,513,0,0,0
10/1/19,26.53,4.285329829,4375.185265,4.300000191,4375.199707,377,54,485,0,0,0
10/2/19,27.35,4.211944332,4375.111962,4.231597152,4375.131571,348,57.9,454,0,0,0
10/3/19,26.70,4.218263778,4375.118279,4.199999809,4375.100098,360,53.9,457,0,0,0
10/4/19,26.75,4.163506843,4375.063513,4.199999809,4375.100098,343,51.2,433,0,0,0
10/5/19,26.10,4.15593744,4375.055901,4.199999809,4375.100098,343,54.1,434,0,0,0
10/6/19,26.75,4.272986126,4375.172874,4.213715139,4375.113759,375,56,486,0,0,0
10/7/19,26.41,4.258159697,4375.158088,4.199999809,4375.100098,378,52.1,480,0,0,0
10/8/19,25.86,4.154253387,4375.054243,4.175694277,4375.075768,338,51.2,429,0,0,0
10/9/19,25.79,4.12972233,4375.029514,4.100520737,4375.000521,324,59.8,423,0,0,0
10/10/19,26.19,4.130000114,4375.029785,4.099999905,4375,332,52.9,430,0,0,0
10/11/19,26.55,4.130000114,4375.029785,4.099999905,4375,336,51.8,432,0,0,0
10/12/19,26.23,4.130000114,4375.029785,4.099999905,4375,328,51.5,421,0,0,0
10/13/19,27.09,4.130000114,4375.029785,4.099999905,4375,327,53.2,423,0,0,0
10/14/19,27.62,4.130000114,4375.029785,4.099999905,4375,335,50.4,429,0,0,0
10/15/19,26.04,4.130000114,4375.029785,4.099999905,4375,329,44.2,406,0,0,0
10/16/19,26.11,4.130000114,4375.029785,4.099999905,4375,315,41,389,0,0,0
10/17/19,25.86,4.130000114,4375.029785,4.099999905,4375,310,40,381,0,0,0
10/18/19,25.92,4.130000114,4375.029785,4.099999905,4375,329,40.5,400,0,0,0
10/19/19,26.15,4.130000114,4375.029785,4.099999905,4375,350,41.8,430,0,0,0
10/20/19,26.44,4.130000114,4375.029785,4.099999905,4375,353,37.9,431,0,0,0
10/21/19,27.09,4.130000114,4375.029785,4.099999905,4375,345,37.5,424,0,0,0
10/22/19,25.67,4.130000114,4375.029785,4.099999905,4375,348,29.4,411,0,0,0
10/23/19,26.68,4.130000114,4375.029785,4.099999905,4375,349,27.3,408,0,0,0
10/24/19,25.39,4.130000114,4375.029785,4.099999905,4375,348,28.2,406,0,0,0
10/25/19,26.50,4.130000114,4375.029785,4.099999905,4375,347,29.6,409,0,0,0
10/26/19,26.00,4.130000114,4375.029785,4.099999905,4375,359,36.8,431,0,0,0
10/27/19,27.68,4.130000114,4375.029785,4.099999905,4375,373,37.2,460,0,0,0
10/28/19,27.73,4.130000114,4375.029785,4.099999905,4375,377,34.5,461,0,0,0
10/29/19,26.69,4.130000114,4375.029785,4.099999905,4375,391,33.6,482,0,0,0
10/30/19,27.23,4.130000114,4375.029785,4.099999905,4375,373,37.5,463,0,0,0
10/31/19,27.22,4.130000114,4375.029785,4.099999905,4375,384,37,475,0,0,0
11/1/19,26.32,4.130000114,4375.029785,4.099999905,4375,376,39.8,468,0,0,0
11/2/19,26.47,4.130000114,4375.029785,4.099999905,4375,295,43.8,377,0,0,0
11/3/19,27.60,4.130000114,4375.029785,4.099999905,4375,290,44.2,373,0,0,0
11/4/19,28.29,4.130000114,4375.029785,4.099999905,4375,292,42.5,371,0,0,0
11/5/19,26.32,4.130000114,4375.029785,4.099999905,4375,288,39,356,0,0,0
11/6/19,25.61,4.130000114,4375.029785,4.099999905,4375,283,33.9,350,0,0,0
11/7/19,25.78,4.130000114,4375.029785,4.099999905,4375,270,34.5,334,0,0,0
11/8/19,27.14,4.130000114,4375.029785,4.099999905,4375,273,32.3,338,0,0,0
11/9/19,25.51,4.130000114,4375.029785,4.099999905,4375,274,35.5,337,0,0,0
11/10/19,27.69,4.130000114,4375.029785,4.099999905,4375,281,40.1,355,0,0,0
11/11/19,27.32,4.130000114,4375.029785,4.099999905,4375,281,38.5,356,0,0,0
11/12/19,26.46,4.130000114,4375.029785,4.099999905,4375,284,36.7,353,0,0,0
11/13/19,27.23,4.130000114,4375.029785,4.099999905,4375,278,37.4,350,0,0,0
11/14/19,25.62,4.130000114,4375.029785,4.099999905,4375,273,37.3,344,0,0,0
11/15/19,26.34,4.130000114,4375.029785,4.099999905,4375,277,33.4,342,0,0,0
11/16/19,25.77,4.130000114,4375.029785,4.099999905,4375,280,31.6,341,0,0,0
11/17/19,27.64,4.130000114,4375.029785,4.099999905,4375,283,32.9,351,0,0,0
11/18/19,27.50,4.130000114,4375.029785,4.099999905,4375,281,33,349,0,0,0
11/19/19,25.62,4.130000114,4375.029785,4.099999905,4375,277,34.8,342,0.1,0,0
11/20/19,27.15,4.130000114,4375.029785,4.099999905,4375,282,51.9,369,0.02,0,0
11/21/19,26.42,4.130000114,4375.029785,4.099999905,4375,277,48.5,362,0,0,0
11/22/19,25.74,4.130000114,4375.029785,4.099999905,4375,285,43,362,0,0,0
11/23/19,27.11,4.130000114,4375.029785,4.099999905,4375,285,43.4,365,0,0,0
11/24/19,27.61,4.130000114,4375.029785,4.099999905,4375,284,44.4,366,0,0,0
11/25/19,27.56,4.130000114,4375.029785,4.099999905,4375,281,43.6,359,0,0,0
11/26/19,27.52,4.130000114,4375.029785,4.099999905,4375,281,40.5,361,0.09,0,0
11/27/19,26.57,4.130000114,4375.029785,4.099999905,4375,300,47.2,384,0,0,0
11/28/19,26.84,4.130000114,4375.029785,4.099999905,4375,296,43.5,381,0.18,2.8,0
11/29/19,26.54,4.130000114,4375.029785,4.099999905,4375,298,45.6,383,0.01,0.2,3.1
11/30/19,26.74,4.130000114,4375.029785,4.099999905,4375,291,41.9,371,0,0,1.2
12/1/19,27.60,4.130000114,4375.029785,4.099999905,4375,318,60,439,0.56,1.5,1.2
12/2/19,29.59,4.130000114,4375.029785,4.099999905,4375,368,113,576,0.1,0,2
12/3/19,26.46,4.130000114,4375.029785,4.099999905,4375,343,80.5,497,0,0,0
12/4/19,27.65,4.130000114,4375.029785,4.099999905,4375,310,63.2,430,0.05,0.3,0
12/5/19,26.75,4.130000114,4375.029785,4.099999905,4375,288,55,388,0,0,0
12/6/19,27.26,4.130000114,4375.029785,4.099999905,4375,282,48.2,370,0.01,0,0
12/7/19,29.12,4.130000114,4375.029785,4.099999905,4375,393,79.6,521,0.76,0,0
